sample_id,measurement_01,measurement_02,measurement_03,measurement_04,measurement_05,measurement_06,class_label
train-charlie-002,7.4847,5.9218,7.0724,6.7135,8.0058,6.6076,CHARLIE
train-charlie-003,7.7275,6.0432,7.2474,6.4493,7.6686,6.4921,CHARLIE
train-charlie-004,7.3314,6.6399,7.2248,6.2814,7.7216,6.3104,CHARLIE
train-charlie-005,7.5003,6.3025,7.1859,6.2514,7.3452,6.57,CHARLIE
train-charlie-006,7.7863,6.6187,7.4967,6.2478,7.7693,5.9784,CHARLIE
train-charlie-007,7.855,6.2557,6.8489,7.1422,7.7417,5.9839,CHARLIE
train-charlie-008,7.5646,6.0391,7.1245,6.5977,7.9022,6.0869,CHARLIE
train-charlie-009,7.5698,6.5991,6.9181,6.7463,7.6444,6.2483,CHARLIE
train-charlie-010,7.6425,6.2214,6.8924,7.0876,7.7742,6.3632,CHARLIE
train-charlie-011,7.3599,6.0274,7.3708,6.6678,7.7011,6.3594,CHARLIE
train-charlie-012,7.6356,6.1745,7.268,6.6597,7.7825,6.5479,CHARLIE
train-charlie-013,7.4743,6.0108,6.8932,6.537,7.3834,6.5905,CHARLIE
train-charlie-014,7.4897,6.5454,7.6015,6.7053,7.2594,6.3161,CHARLIE
train-charlie-015,7.4834,5.8725,7.0449,6.7631,7.4989,6.2309,CHARLIE
train-charlie-016,7.3331,6.5931,7.0649,6.5174,7.518,6.61,CHARLIE
train-charlie-017,7.3494,6.306,7.2601,6.8648,7.9079,6.2789,CHARLIE
train-charlie-018,7.7492,6.0256,7.0128,6.9631,7.7809,6.4005,CHARLIE
train-charlie-019,7.2379,6.3236,6.9613,6.4967,7.4574,6.4542,CHARLIE
train-charlie-020,7.0334,6.2794,7.1383,6.5714,7.8281,6.5345,CHARLIE
train-charlie-021,7.3666,6.0526,7.2529,6.3665,7.5268,6.2612,CHARLIE
train-charlie-022,7.5154,6.2464,7.1081,6.9497,7.6502,6.3307,CHARLIE
train-charlie-023,7.2336,6.3588,7.2162,7.0192,7.4356,6.4058,CHARLIE
train-charlie-024,7.4871,6.1807,7.1023,6.3228,7.7815,6.5437,CHARLIE
train-delta-001,9.3487,9.1949,8.4298,9.292,8.8022,9.4273,DELTA
train-delta-002,8.7191,8.8069,8.1764,8.7321,8.3554,8.696,DELTA
train-delta-003,9.3352,8.509,8.45,9.044,8.9344,8.7576,DELTA
train-delta-004,9.3899,8.4815,8.3317,9.327,8.8054,9.3134,DELTA
train-delta-005,9.1265,8.4343,8.3767,9.174,8.9595,9.0844,DELTA
train-delta-006,9.0737,8.8913,8.3837,9.27,8.8398,9.3362,DELTA
train-delta-007,9.0783,8.6228,8.2699,9.4509,8.6707,9.0756,DELTA
train-delta-008,8.6816,8.9295,8.207,9.129,9.0329,8.7064,DELTA
train-delta-009,9.0825,8.7163,8.2803,9.5954,9.1297,8.5662,DELTA
train-delta-010,8.7812,8.8778,8.2133,9.2145,8.8285,9.1522,DELTA
train-delta-011,9.0509,8.7209,8.3291,9.5843,8.691,9.0747,DELTA
train-delta-012,8.9874,8.7234,8.463,9.2643,8.577,9.1752,DELTA
train-delta-013,9.4111,8.7535,8.6611,9.4844,9.0042,9.0667,DELTA
train-delta-014,9.1467,8.8901,8.5151,9.0857,8.8052,8.5845,DELTA
train-delta-015,9.0987,8.7909,8.7719,9.3333,9.0042,8.9999,DELTA
train-delta-016,8.8748,8.3895,8.2867,8.9994,8.9394,8.9543,DELTA
train-delta-017,9.2255,8.7162,8.7297,9.5332,8.658,8.9397,DELTA
train-delta-018,8.9828,8.3433,8.6485,9.5615,8.7986,8.8915,DELTA
train-delta-019,9.34,8.1841,8.539,9.3315,8.6744,9.3061,DELTA
train-delta-020,9.3136,8.6425,8.4809,9.2146,8.6873,8.7122,DELTA
train-delta-021,9.4036,8.9262,8.6756,9.0592,9.2578,9.4356,DELTA
train-delta-022,9.1414,8.5011,8.3094,9.3921,8.5991,8.9925,DELTA
train-delta-023,9.3395,8.3685,8.9413,9.6447,8.5278,8.689,DELTA
train-delta-024,9.0376,8.4731,8.442,8.7321,8.7497,9.3966,DELTA
